@relation finalpoemsglove

@attribute sentence string
@attribute conceptOverlap {false,true}
@attribute similarity REAL
@attribute pmi REAL
@attribute dim1 REAL
@attribute dim2 REAL
@attribute dim3 REAL
@attribute dim4 REAL
@attribute dim5 REAL
@attribute dim6 REAL
@attribute dim7 REAL
@attribute dim8 REAL
@attribute dim9 REAL
@attribute dim10 REAL
@attribute dim11 REAL
@attribute dim12 REAL
@attribute dim13 REAL
@attribute dim14 REAL
@attribute dim15 REAL
@attribute dim16 REAL
@attribute dim17 REAL
@attribute dim18 REAL
@attribute dim19 REAL
@attribute dim20 REAL
@attribute dim21 REAL
@attribute dim22 REAL
@attribute dim23 REAL
@attribute dim24 REAL
@attribute dim25 REAL
@attribute dim26 REAL
@attribute dim27 REAL
@attribute dim28 REAL
@attribute dim29 REAL
@attribute dim30 REAL
@attribute dim31 REAL
@attribute dim32 REAL
@attribute dim33 REAL
@attribute dim34 REAL
@attribute dim35 REAL
@attribute dim36 REAL
@attribute dim37 REAL
@attribute dim38 REAL
@attribute dim39 REAL
@attribute dim40 REAL
@attribute dim41 REAL
@attribute dim42 REAL
@attribute dim43 REAL
@attribute dim44 REAL
@attribute dim45 REAL
@attribute dim46 REAL
@attribute dim47 REAL
@attribute dim48 REAL
@attribute dim49 REAL
@attribute dim50 REAL
@attribute dim51 REAL
@attribute dim52 REAL
@attribute dim53 REAL
@attribute dim54 REAL
@attribute dim55 REAL
@attribute dim56 REAL
@attribute dim57 REAL
@attribute dim58 REAL
@attribute dim59 REAL
@attribute dim60 REAL
@attribute dim61 REAL
@attribute dim62 REAL
@attribute dim63 REAL
@attribute dim64 REAL
@attribute dim65 REAL
@attribute dim66 REAL
@attribute dim67 REAL
@attribute dim68 REAL
@attribute dim69 REAL
@attribute dim70 REAL
@attribute dim71 REAL
@attribute dim72 REAL
@attribute dim73 REAL
@attribute dim74 REAL
@attribute dim75 REAL
@attribute dim76 REAL
@attribute dim77 REAL
@attribute dim78 REAL
@attribute dim79 REAL
@attribute dim80 REAL
@attribute dim81 REAL
@attribute dim82 REAL
@attribute dim83 REAL
@attribute dim84 REAL
@attribute dim85 REAL
@attribute dim86 REAL
@attribute dim87 REAL
@attribute dim88 REAL
@attribute dim89 REAL
@attribute dim90 REAL
@attribute dim91 REAL
@attribute dim92 REAL
@attribute dim93 REAL
@attribute dim94 REAL
@attribute dim95 REAL
@attribute dim96 REAL
@attribute dim97 REAL
@attribute dim98 REAL
@attribute dim99 REAL
@attribute dim100 REAL
@attribute metaphor {0,1}

@data
'poise club',false,0.03263709809084226,?,-0.256748,-0.17568999999999996,0.7905654,0.5009399999999999,-0.32209,-0.72087,-0.58875,-0.75436,-0.36216000000000004,0.388985,-0.7686029999999999,1.16288,-0.182446,-0.05076,0.32786000000000004,0.028069999999999984,-1.1309399999999998,1.12192,-0.15975330000000001,-0.36527,0.208274,-0.24266000000000001,-0.31407999999999997,0.13804000000000005,0.7234900000000001,0.460699,-0.045359999999999984,0.50549,-0.151052,-0.411078,0.91706,-1.7648700000000002,-0.23346999999999998,-0.161385,-0.04095000000000004,-1.1715,0.30416,-0.7304350000000001,0.74526,0.54465,0.21848,-0.40692999999999996,-0.20273,0.639737,-1.45559,-0.500942,0.7369600000000001,-0.18987600000000004,0.58528,-0.35185999999999995,0.2395,0.15835200000000002,0.42696999999999996,0.06018000000000001,1.162118,2.37366,0.596424,-0.013739999999999974,-1.05632,-1.077005,0.31697899999999996,-0.08338999999999996,0.05849000000000004,0.49928146,-0.60679,0.808364,0.8211320000000001,-1.26084,0.007959999999999995,1.35271,0.76362,0.252056,0.75924,0.7616,0.99554,1.19994,-1.48035,0.18023999999999998,1.37879,-0.10272400000000001,-0.00605,0.39592900000000003,0.42696,0.8353200000000001,-0.10522000000000001,0.18036999999999997,2.05793,0.47929999999999995,-0.9958199999999999,-0.5198,0.51055,0.10696699999999999,0.250281,0.12242999999999993,0.05261000000000002,-0.195967,0.21006000000000008,-1.8426500000000001,-2.00228,1.73584,1
'sunlight silence',false,0.2347201957884424,?,-0.93576,0.72855,-0.200407,-0.439116,1.16298,-1.778923,0.27724,0.33203,0.21144999999999997,-0.06028,0.8252599999999999,-0.89215,0.086857,-0.113643,1.14343,-1.1225779999999999,-0.8662409999999999,0.436836,1.0939,-0.1467,-1.3132499999999998,-0.43685000000000007,-0.025479999999999947,0.9366300000000001,-0.83611,0.6755500000000001,0.45147000000000004,-0.687,-0.782416,-0.43700000000000006,-0.26325,0.309912,-0.269927,-0.58947,0.555575,-0.264795,-0.36529,-0.015451000000000006,-0.29560400000000003,0.67855,-0.11334999999999995,-0.05146999999999999,-0.97906,0.39447,0.27134,1.19416,-0.67564,0.08038000000000001,0.97529,0.54194,-0.37467999999999996,0.36952000000000007,-0.07729999999999998,-0.6125400000000001,0.159473,0.6857099999999999,0.282992,0.045133999999999994,0.48860000000000003,-1.0770890000000002,0.10069,1.3798750000000002,-0.617342,1.1079,0.383855,0.40309,0.36887000000000003,-1.4354900000000002,-0.1985,-1.0305900000000001,0.296311,-0.44314,1.06148,0.10799000000000003,0.41801,-0.63893,0.16175,-0.94299,0.237248,0.22759000000000001,-0.841009,0.46592,-1.49126,-0.08006999999999997,1.335761,-0.21508,0.637169,0.01636000000000004,0.15358000000000002,-0.27614,0.49549,-1.15604,0.09023,-0.46305,-0.448377,-0.25615,0.02806,-0.36485999999999996,0.745198,-0.14938999999999997,1
'feet anchor',false,0.2990420061740257,?,0.701595,0.9921899999999999,0.79435,1.1463,-0.571454,0.81142,0.251023,0.64805,-0.597332,-0.18794,1.09382,0.07047999999999999,0.24797999999999998,-0.42194200000000004,0.6375899999999999,0.6523699999999999,-1.09371,1.0871,-0.23268,-0.22099000000000008,0.28089000000000003,1.11622,0.371031,-0.043044,-0.19420000000000015,0.48719999999999997,-0.777816,-0.6364,0.93203,-0.87146,0.14480099999999999,-0.48456999999999995,0.17507,0.206,-0.075463,0.25327,0.170576,0.280703,0.44604,1.1031330000000001,0.19364999999999996,-0.14931,0.372453,-0.49078999999999995,-0.58554,-0.63105,0.6007,0.866155,-0.26124,0.84816,0.21863,-1.34488,0.44245999999999996,0.79341,-1.12711,-0.1362000000000001,0.395301,-0.12468000000000001,1.04407,-0.46542000000000006,1.03323,1.1858899999999999,-0.05440199999999999,1.25758,-0.92386,0.7997,0.32838,-0.82968,-0.042259999999999964,-1.27401,0.58497,0.11828,-0.08192999999999995,-0.13317999999999997,0.19393,-0.056379999999999986,0.21697100000000002,0.41947,-0.22849,0.86708,1.3947100000000001,0.56001,-0.805622,-0.9612400000000001,-0.64628,0.38047,0.8581765,-1.2744400000000002,0.06983,1.07299,-0.427534,-0.40696999999999994,-1.39812,-0.10842000000000002,-0.40763,0.45203,-1.2157,-0.278381,-0.25938000000000005,-1.47133,1
'horizon gesture',false,0.05380530663015049,?,-0.19245,0.530774,0.3712201,0.0315165,0.21455999999999997,-1.81243,0.551372,0.187613,-0.19920100000000002,0.480483,1.84578,0.34396,0.08877000000000002,-0.48806,0.08231,-1.68566,0.11948999999999999,0.584924,0.86685,0.079483,-0.7601199999999999,0.5357099999999999,0.9087799999999999,-0.40720999999999996,-0.532401,-0.0577700000000001,0.22577000000000003,-0.14811000000000002,-0.95104,0.54733,0.13587,-0.7104900000000001,0.38432900000000003,-0.048861299999999996,-0.5559419999999999,0.189058,-0.43849,0.289679,0.80508,0.719308,-0.27119000000000004,-0.21668999999999997,-1.42651,-0.17742000000000002,0.42434000000000005,0.78675,-0.26448999999999995,0.12311999999999995,0.17284,0.33927999999999997,-0.69388,0.352388,-1.29352,0.01683000000000001,0.574591,-0.3132999999999999,1.13124,0.38094000000000006,0.18868000000000007,0.88907,-0.38226,0.812905,0.08678000000000002,-0.27083,1.27074,0.7370099999999999,-0.31493000000000004,-0.7302799999999999,-0.198502,0.8484700000000001,-0.29813690000000004,0.8968799999999999,0.45211999999999997,0.18904999999999994,-0.79173,-1.70725,1.0663299999999998,-0.6004400000000001,-0.79633,-0.59143,-0.03413428,-0.437064,-0.634228,0.51616,1.68291,-1.09175,-0.10002,-0.562948,0.64898,1.0562699999999998,0.63195,1.10531,-0.028740000000000016,-0.55002,0.31482967,0.6730076,-0.199271,0.68021,-0.21645299999999998,-0.47023,1
'good-by number',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
'eyes lakes',false,0.2202686834323108,?,0.71471,-0.22151000000000004,0.33725000000000005,-0.6815100000000001,-0.23860000000000003,1.0714899999999998,-1.41414,-0.50257,0.65247,0.38471999999999995,-0.04744999999999999,-0.116421,1.30381,0.45575000000000004,0.14273,0.49672,-0.8351,1.2110400000000001,1.20108,-0.493656,0.24970999999999993,-1.08986,-0.7877700000000001,-0.13313999999999998,1.328347,1.3566,0.9072100000000001,-0.11512999999999998,0.9597,-0.49141,0.45300999999999997,0.84124,0.04777999999999999,0.18422,0.026241,0.07469999999999999,-1.107094,-0.17239,0.61693,-0.06394999999999998,0.684645,-0.66054,0.675048,0.42563999999999996,-0.93907,-1.17598,-0.054440000000000016,0.38054,0.123419,-0.8940878999999999,0.31955999999999996,-0.186797,-0.58921,1.69999,-0.58942,-0.5618999999999998,-0.045050000000000034,0.5689599999999999,0.036680000000000046,-0.424122,1.5000900000000001,1.28145,-0.63197,0.09084,-0.53075,0.095676,0.08186000000000004,0.8655499999999999,-1.228586,0.09212000000000004,0.624781,0.9870700000000001,-0.09806999999999999,-0.47770000000000007,-0.030680000000000013,0.07836000000000001,-0.8858,-0.31181000000000003,-0.18317100000000003,-0.99404,0.7935169999999999,0.15763,0.30127,-0.16221000000000002,-1.61742,-1.2513899999999998,-0.62879,0.64316,-0.6166099999999999,-0.03283999999999998,0.58,0.014646999999999993,0.97566,-0.2207775,0.52722,-0.21165,0.29710000000000014,-0.028121999999999994,-1.38896,-0.343379,1
'world taxi',false,0.1826293645753417,?,0.13944999999999996,1.5638800000000002,1.6844700000000001,0.59173,-0.2379,-0.6764,-0.06006,-1.1325024,-0.9913299999999999,-0.6903699999999999,0.85432,-0.91089,-0.09257000000000004,-0.479938,-1.01668,0.58854,0.35198999999999997,0.6746099999999999,-0.64937,-0.9496,-0.30881000000000003,0.50003,0.82637,1.23811,0.30238999999999994,0.29569183,0.73913,-0.031670000000000004,0.52815,0.53281,-0.2973,-0.492489,-0.37922900000000004,0.029945999999999993,0.46410700000000005,-0.45854000000000006,-0.61223,0.62548,-2.2455,-0.64709,-1.21567,0.295534,-0.16191000000000003,-0.010940000000000005,-0.030840000000000034,0.512554,1.03194,-0.295153,-0.096679,-0.790759,0.24859000000000003,0.09601000000000001,0.483241,-0.26160000000000005,0.128164,-2.5992599999999997,0.59534,-0.20765,-0.1643000000000001,0.57637,-0.47597999999999996,0.82826,-0.18293900000000002,-0.7727200000000001,0.77412,-0.61748,-0.16207,1.0042499999999999,0.9323199999999999,-0.95465,1.39421,0.059719999999999995,-0.510646,0.85671,-0.22566000000000003,-0.362707,-0.84934,-0.23517000000000002,-0.2551,1.110734,0.6250399999999999,-0.025365,-0.5600700000000001,1.46485,-0.50249,0.10954999999999998,-0.32377,0.19513999999999998,0.52759,0.08621999999999999,-0.19180000000000003,0.525389,0.83618,0.768,0.12899,-0.58922,-0.26393,-1.17484,0.40164,0.95461,1
'poet man',true,0.4326660546434876,?,-0.387969,0.37272000000000005,-0.6737820000000001,1.0974599999999999,0.9952528,-0.44615000000000005,-0.29246,-1.641697,-0.26699999999999996,-0.171219,-0.85711,-0.68711,-0.6448,-0.44677999999999995,-0.8102199999999999,-0.40247999999999995,-0.13455999999999996,-0.8069599999999999,-0.40512000000000004,0.56349,-0.898187,-0.338551,0.64142,0.58918,-0.02401999999999993,-1.0251899999999998,-0.017650000000000055,-0.3267199999999999,0.99143,-0.294466,-0.796837,-0.17894000000000004,0.206644,-0.26625999999999994,-0.45555,0.12644,0.32631000000000004,-0.41398999999999997,-0.881603,-0.319235,0.16610999999999998,0.982247,-0.73857,0.15007600000000001,0.43588,-0.91524,-0.442195,-1.121102,0.03056000000000003,0.9807,0.80945,0.481348,0.80317,-1.48021,0.02284999999999998,1.26664,-0.23044999999999993,-0.394395,-1.50393,-0.20787999999999995,0.37107000000000007,0.28391999999999995,-0.10912,-0.25936000000000003,-0.17332999999999998,-0.45548299999999997,0.39991999999999994,-0.6805699999999999,0.86372,-0.48822,-0.043120000000000006,1.3418200000000002,0.14715,0.22929000000000002,-0.5646899999999999,-0.13683099999999998,0.42566000000000004,0.7886299999999999,0.39727,-0.41128000000000003,-1.21952,-0.288583,-0.23708300000000002,0.04558999999999999,0.6699799999999999,0.5833959999999999,-0.052000000000000046,-0.36192,0.412138,-0.3592599999999999,0.42467000000000005,-0.04916999999999999,-0.406131,0.330695,-0.41191,0.47218399999999994,0.60499,-0.35168999999999995,-0.835698,0.10320999999999997,0
'man animal',false,0.46582869349675216,-1.7489945635533382,-0.18452999999999997,-0.24546,0.5905900000000001,-0.12334999999999996,-0.1475528,0.68072,0.16498000000000002,0.029321,-0.11237999999999998,0.99044,0.8052300000000001,0.41541,-0.40768000000000004,0.158952,-0.04544999999999999,-1.06854,-0.009950000000000014,-0.64412,-0.44290499999999994,0.20068999999999998,0.37381999999999993,-0.023010000000000003,-0.39132,0.19401000000000002,0.5581499999999999,-0.58488,-0.30466,-0.3625,0.8688699999999999,-0.32206999999999997,0.30056700000000003,0.482385,0.387296,-0.51828,0.081552,-0.424174,-0.14588,0.32416999999999996,1.19187,0.385485,-0.37777299999999997,0.265983,1.49669,0.35723,-0.11226,0.08542999999999998,0.622425,-0.129388,1.07911,0.10698000000000002,-0.9418,-0.18873000000000004,0.7242000000000001,0.92806,-0.20098999999999997,-1.65389,-0.49674999999999997,0.74612,-0.0985999999999998,0.41126999999999997,-0.27636,0.06339000000000006,-0.857,-0.42378000000000005,-0.7940300000000001,-0.657127,1.04146,0.72668,-1.4274499999999999,0.42734000000000005,0.33602,-0.07789000000000001,-0.20742,-0.44746,0.18529999999999996,0.260309,0.47222000000000003,-0.16463,0.53118,-0.9012500000000001,0.87079,-0.29579000000000005,0.25688300000000003,-0.46367,0.20250000000000012,-0.6166269999999999,-0.73593,-0.55401,0.049851999999999994,-0.9541700000000001,-0.75153,0.7407899999999998,-0.16572000000000003,-0.260045,0.01879,0.293196,0.61858,-0.26371,-1.255962,0.15425,1
'name james',false,0.44899791139128875,-0.3981613349252234,0.147358,0.032769999999999994,0.10319999999999996,0.68846,-0.09802,0.64014,-0.775424,-0.15656000000000003,0.73912,0.971966,-0.26968000000000003,0.6693100000000001,0.8566100000000001,-0.05065000000000003,-0.23141599999999998,0.45741000000000004,1.07831,-0.38883,0.40859,0.06525999999999998,-0.84663,0.6075,-1.31269,0.84604,-0.73983,-0.45701,0.26302,0.07882,-0.07955999999999999,-0.6469779999999999,0.380953,0.44665999999999995,0.120723,0.061232,0.130601,0.5625899999999999,0.095663,-0.579589,-0.08665500000000001,-0.569159,0.75797,0.74062,0.34128000000000003,-0.47961300000000007,0.2163,0.19947000000000004,1.1746109999999998,0.7572139,-0.55122,-0.09766999999999999,-0.59073,0.9001399999999999,0.5211700000000001,0.88019,-1.02509,0.49890000000000034,-0.71178,0.2954,0.889821,0.25540449000000004,0.54084,0.6235999999999999,-0.160536,-0.29894,1.10956,0.62128,0.19248,-1.18376,-0.07024999999999998,-0.7231463899999999,-0.29952,-0.058730000000000004,0.12126000000000003,-0.33427999999999997,0.59979,0.8312999999999999,-0.29451499999999997,-0.239426,-0.8618000000000001,-0.169869,-0.648461,-1.46048,-0.5309200000000001,0.0021599999999999953,-0.6001700000000001,-0.074091,0.22374999999999995,-0.33804,0.7385008000000001,0.618184,-0.53224,0.48125,0.06010600000000001,0.36487,0.11778,-0.15045999999999998,-1.17937,0.39009999999999995,0.8517699999999999,0.37958800000000004,0
