@relation type1metaphor

@attribute metaphor {y,n}
@attribute sentence string
@attribute classNoun1 {concrete,abstract}
@attribute classNoun2 {concrete,abstract}
@attribute classOverlap {false,true}
@attribute overlap {false,true}
@attribute conceptOverlap {false,true}
@attribute similarity REAL

@data
y,'sunlight is silence',concrete,abstract,false,false,false,0.193444839444
y,'feet are anchor',abstract,concrete,false,false,false,0.313842190232
y,'horizon is gesture',concrete,abstract,false,false,false,0.0304223046476
n,'good-by is number',abstract,abstract,true,false,false,0
y,'eyes be lakes',abstract,concrete,false,false,false,-0.052188990196
y,'world were taxi',concrete,concrete,true,false,false,-0.00208321059466
n,'poet is man',concrete,concrete,true,true,true,0.243682197332
y,'man is animal',concrete,concrete,true,true,false,0.203844531944
n,'name is james',abstract,concrete,false,false,false,-0.0287729772494
y,'earth is door',concrete,concrete,true,false,false,-0.0414179549973
y,'neck are fear',concrete,abstract,false,false,false,0.0613654785751
y,'moon is sow',concrete,concrete,true,false,false,0.107818671685
n,'earth is birth',concrete,abstract,false,false,true,0.102253637553
n,'one is simple',abstract,concrete,false,false,false,0
n,'nature is humanity',abstract,abstract,true,true,false,0.447606999129
n,'love is word',abstract,abstract,true,false,false,0.12426814109
n,'goodbye is promise',abstract,abstract,true,false,false,0.34825808476
n,'body is afterimage',concrete,abstract,false,false,false,0
y,'eyes are caves',abstract,concrete,false,false,false,0.0487095903557
n,'sky is baby',concrete,concrete,true,false,false,0.0480319563317
n,'road is somebody',concrete,concrete,true,false,false,0
n,'life was strain',abstract,abstract,true,false,false,0.0668718214479
n,'haggard is ryder',concrete,?,false,false,false,0.268270783661
y,'mind is city',abstract,concrete,false,false,false,-0.0371681007085
n,'others were despots',?,?,true,false,false,0
n,'humor was necessity',abstract,abstract,true,false,false,0.0204645323885
n,'name is time',abstract,abstract,true,false,true,0
y,'name is death',abstract,abstract,true,false,true,0.0401925807053
n,'hamlet is example',abstract,abstract,true,false,false,0.0286733330163
y,'sun is yellowjacket',concrete,?,false,false,false,0
n,'love is fiction',abstract,abstract,true,false,false,0.269504045635
n,'people are home',abstract,concrete,false,false,true,0.181250146065
y,'life is invocation',abstract,abstract,true,false,false,0.0482508554389
y,'darkness is spring',abstract,abstract,true,false,false,0.194865353304
y,'trees are crystal',concrete,concrete,true,false,false,0.210683014027
y,'branches are wire',abstract,concrete,false,false,false,0.281015443942
y,'deer are ghosts',concrete,abstract,false,false,false,0.369798456548
n,'cemetery was sheet',concrete,abstract,false,false,false,0.0646344194868
n,'spades are spades',concrete,concrete,true,true,true,1.0
n,'clubs are clovers',abstract,concrete,false,false,false,-0.00369532906049
n,'books is slate-blue',concrete,?,false,false,false,0
y,'talisman is phoenix',concrete,concrete,true,false,false,0.247174315476
y,'emblem is rock',concrete,concrete,true,false,false,0.154076666727
y,'machines are animals',concrete,concrete,true,false,false,0.0930246171524
y,'man is speech',concrete,abstract,false,false,false,0.215602691709
n,'books were trees',concrete,concrete,true,false,true,0.00781070695316
n,'trees were books',concrete,concrete,true,false,true,0.00781070695316
n,'underwear is something',concrete,concrete,true,false,false,0
n,'henry was man',abstract,concrete,false,false,false,0.0374887246107
n,'man is nothing',concrete,abstract,false,false,false,0
y,'words are weight',abstract,abstract,true,false,false,0.196712062414
y,'vapor was ocean',concrete,concrete,true,false,true,0
n,'use are books',abstract,concrete,false,false,true,0
n,'god is size',abstract,abstract,true,false,false,-0.0790932938676
y,'night is man',abstract,concrete,false,false,false,0.139162011741
n,'joy is pain',abstract,abstract,true,false,true,0.377181389868
y,'sun is bonnet',concrete,concrete,true,false,false,0.158131914531
y,'afternoon was colour',abstract,concrete,false,false,false,-0.00535156587283
n,'hills is kind',concrete,abstract,false,false,false,0
y,'world is dream',concrete,abstract,false,false,false,0.319507826424
n,'connecticut are dreamers',concrete,concrete,true,false,false,0.138729246174
n,'mouth is water',concrete,concrete,true,false,false,0.251067641281
y,'mind is blanket',abstract,concrete,false,false,false,0.0894731357226
n,'meditation are mirage',abstract,concrete,false,true,false,0.126058380089
n,'earth is divinity',concrete,abstract,false,false,false,0.171161434431
n,'sky is divinity',concrete,abstract,false,false,false,-0.000948040626074
y,'spirits are keepers',concrete,concrete,true,false,false,-0.00080557529171
n,'mine was scene',concrete,concrete,true,false,false,0
y,'dawn is angel',abstract,abstract,true,true,false,0.369898808199
n,'home is place',concrete,concrete,true,true,true,0.183210938189
n,'sausage was echt',concrete,?,false,false,false,-0.0990262713536
n,'selves are man',abstract,concrete,false,false,false,0
n,'shopping is art',abstract,concrete,false,false,false,0.135575934929
n,'callers were fbi',concrete,abstract,false,false,false,0.352817398474
y,'mind is friend',abstract,concrete,false,false,false,0.146773331357
n,'body is illusion',concrete,abstract,false,false,false,0.128348216539
n,'people is something',abstract,concrete,false,false,false,0
y,'ocean was salt',concrete,concrete,true,false,true,0.329669839896
y,'street is slice',concrete,abstract,false,false,false,-0.0490618330893
y,'chest was thunder',concrete,abstract,false,false,false,0.233597982229
