poemname,end,internal,eye,full,rich,identical,slant
poem.10.txt,0.08505,0.02000,0.00000,3.48333,0.00000,0.00000,12.80238
poem.11053.txt,0.01707,0.01442,0.00000,8.37619,0.00000,0.00017,29.12857
poem.11099.txt,0.19335,0.00000,0.00000,6.69667,0.00000,0.00000,9.20000
poem.11288.txt,0.00564,0.00000,0.00000,0.00000,0.00000,0.00000,1.02727
poem.11351.txt,0.12624,0.00000,0.00000,4.66667,0.00000,0.00000,0.87778
poem.11427.txt,0.00927,0.00000,0.00000,1.34667,0.00000,0.00272,0.60000
poem.11522.txt,0.04714,0.00000,0.00000,6.27500,0.90000,0.00000,2.72500
poem.11523.txt,0.05550,0.02727,0.00000,3.12333,0.00000,0.00000,3.92667
poem.11752.txt,0.01400,0.00000,0.00000,47.09437,0.00000,0.00181,53.14722
poem.11804.txt,0.04764,0.00000,0.00000,3.15000,0.00000,0.00000,8.75556
poem.11856.txt,0.06805,0.00000,0.00000,6.15190,0.00000,0.00000,10.98190
poem.11897.txt,0.02481,0.00000,0.00000,1.10000,0.00000,0.00000,3.68786
poem.11925.txt,0.01050,0.02750,0.00000,1.46667,0.80000,0.00000,14.39535
poem.11973.txt,0.00565,0.00000,0.00000,0.00000,0.00000,0.00000,1.35556
poem.12.txt,0.04156,0.00000,0.00000,1.64000,0.00000,0.00000,0.00000
poem.12249.txt,0.02249,0.00000,0.00000,0.24444,0.00000,0.00000,0.70000
poem.12269.txt,0.03753,0.00964,0.00000,3.06333,0.00000,0.00076,56.64030
poem.12421.txt,0.00811,0.00682,0.00000,0.73333,0.00000,0.00000,2.82373
poem.12960.txt,0.00731,0.00000,0.00000,0.00000,0.00000,0.00000,0.52615
poem.12961.txt,0.04122,0.03667,0.00000,0.55000,0.00000,0.00000,4.67381
poem.12962.txt,0.03888,0.02000,0.00000,0.00000,0.00000,0.01705,3.39667
poem.13.txt,0.15119,0.00000,0.00000,4.40000,0.00000,0.00000,0.00000
poem.13059.txt,0.04357,0.00379,0.00000,0.75000,0.00000,0.00027,17.96040
poem.13154.txt,0.02057,0.00000,0.00000,0.60000,0.00000,0.00068,16.38722
poem.13364.txt,0.13173,0.00000,0.00000,3.08333,0.00000,0.00000,2.05000
